,open,close,high,low,volume,money
2007-01-09,2137.49,2200.09,2201.36,2128.06,8157762900.0,65456192715.0
2007-01-10,2210.76,2255.97,2255.97,2194.77,8490497900.0,68822624817.0
2007-01-11,2257.01,2231.63,2289.95,2224.37,8627654800.0,68730011815.0
2007-01-12,2215.86,2173.75,2249.54,2159.78,7652572000.0,61742830353.0
2007-01-15,2170.94,2287.34,2287.68,2170.94,6640309700.0,57043453710.0
2007-01-16,2310.96,2353.87,2354.43,2297.24,7636425400.0,67843434156.0
2007-01-17,2360.41,2308.93,2393.22,2266.34,8901554000.0,80008901771.0
2007-01-18,2292.17,2317.09,2325.53,2240.21,7864860600.0,69894972894.0
2007-01-19,2320.87,2396.09,2396.09,2320.87,8333402200.0,73538873546.0
2007-01-22,2424.82,2491.31,2491.71,2424.82,9389299300.0,81870488111.0
2007-01-23,2508.26,2508.13,2516.59,2415.11,10233761600.0,92812872354.0
2007-01-24,2508.52,2536.43,2556.1,2489.93,8443369700.0,80277493989.0
2007-01-25,2512.46,2452.83,2529.43,2449.05,8105515100.0,77241720261.0
2007-01-26,2415.75,2512.92,2524.24,2356.98,7865400800.0,73275675715.0
2007-01-29,2529.94,2576.92,2582.41,2521.5,8545208500.0,79544859355.0
2007-01-30,2586.52,2551.88,2599.45,2531.78,7821152800.0,73485012977.0
2007-01-31,2544.3,2385.34,2548.18,2367.67,8090913700.0,71945032667.0
2007-02-01,2350.6,2395.17,2410.42,2310.57,6507809500.0,57578101142.0
2007-02-02,2397.06,2298.0,2403.62,2293.28,5937715400.0,53535112102.0
2007-02-05,2282.77,2271.8,2304.32,2247.93,4758750600.0,42358010146.0
2007-02-06,2271.37,2316.04,2316.7,2198.9,6701064800.0,61206502550.0
2007-02-07,2330.43,2369.79,2390.87,2330.43,7010639000.0,66203343445.0
2007-02-08,2376.63,2410.6,2415.96,2354.7,6265654000.0,58367504085.0
